성별,연령대,영양소,기준,1일_권장섭취량,단위
남자,30-49세,탄수화물,RNI_1일권장량,130,g
남자,50-64세,탄수화물,RNI_1일권장량,130,g
남자,65-74세,탄수화물,RNI_1일권장량,130,g
남자,75세 이상,탄수화물,RNI_1일권장량,130,g
여자,30-49세,탄수화물,RNI_1일권장량,130,g
여자,50-64세,탄수화물,RNI_1일권장량,130,g
여자,65-74세,탄수화물,RNI_1일권장량,130,g
여자,75세 이상,탄수화물,RNI_1일권장량,130,g
남자,30-49세,당류,AI_충분섭취량,100,g
남자,50-64세,당류,AI_충분섭취량,100,g
남자,65-74세,당류,AI_충분섭취량,100,g
남자,75세 이상,당류,AI_충분섭취량,100,g
여자,30-49세,당류,AI_충분섭취량,100,g
여자,50-64세,당류,AI_충분섭취량,100,g
여자,65-74세,당류,AI_충분섭취량,100,g
여자,75세 이상,당류,AI_충분섭취량,100,g
남자,30-49세,지방,AI_충분섭취량,15,g
남자,50-64세,지방,AI_충분섭취량,15,g
남자,65-74세,지방,AI_충분섭취량,15,g
남자,75세 이상,지방,AI_충분섭취량,15,g
여자,30-49세,지방,AI_충분섭취량,15,g
여자,50-64세,지방,AI_충분섭취량,15,g
여자,65-74세,지방,AI_충분섭취량,15,g
여자,75세 이상,지방,AI_충분섭취량,15,g
남자,30-49세,포화지방,UL_상한섭취량,20,g
남자,50-64세,포화지방,UL_상한섭취량,20,g
남자,65-74세,포화지방,UL_상한섭취량,20,g
남자,75세 이상,포화지방,UL_상한섭취량,20,g
여자,30-49세,포화지방,UL_상한섭취량,15,g
여자,50-64세,포화지방,UL_상한섭취량,15,g
여자,65-74세,포화지방,UL_상한섭취량,15,g
여자,75세 이상,포화지방,UL_상한섭취량,15,g
남자,30-49세,트랜스지방,UL_상한섭취량,2,g
남자,50-64세,트랜스지방,UL_상한섭취량,2,g
남자,65-74세,트랜스지방,UL_상한섭취량,2,g
남자,75세 이상,트랜스지방,UL_상한섭취량,2,g
여자,30-49세,트랜스지방,UL_상한섭취량,2,g
여자,50-64세,트랜스지방,UL_상한섭취량,2,g
여자,65-74세,트랜스지방,UL_상한섭취량,2,g
여자,75세 이상,트랜스지방,UL_상한섭취량,2,g
남자,30-49세,콜레스테롤,UL_상한섭취량,300,mg
남자,50-64세,콜레스테롤,UL_상한섭취량,300,mg
남자,65-74세,콜레스테롤,UL_상한섭취량,300,mg
남자,75세 이상,콜레스테롤,UL_상한섭취량,300,mg
여자,30-49세,콜레스테롤,UL_상한섭취량,300,mg
여자,50-64세,콜레스테롤,UL_상한섭취량,300,mg
여자,65-74세,콜레스테롤,UL_상한섭취량,300,mg
여자,75세 이상,콜레스테롤,UL_상한섭취량,300,mg
