칼륨,고혈압,권장,나트륨을 배출시켜 혈압 조절에 기여
코엔자임Q10,고혈압,권장,혈관 이완 및 항산화 작용으로 혈압 감소 보조
나트륨,고혈압,주의,과다 섭취 시 혈압 상승 위험
감초,고혈압,주의,부신피질 호르몬에 영향, 칼륨 배출 및 혈압 상승 유발
비타민 C,치주 질환,권장,잇몸 조직을 구성하는 콜라겐 합성을 도움
프로폴리스,치주 질환,권장,항염 작용을 통해 구강 내 염증 완화 도움
오메가-3,고지혈증,권장,혈중 중성지질 개선 및 혈행 원활에 도움
홍국,고지혈증,권장,혈중 콜레스테롤 수치 개선에 도움
트랜스지방,고지혈증,주의,LDL 콜레스테롤을 높이고 HDL을 낮춤
바나바잎,당뇨병,권장,식후 혈당 상승 억제에 도움
크롬,당뇨병,권장,인슐린 활성을 높여 당대사를 원활하게 함
단순당,당뇨병,주의,혈당 수치를 급격히 올려 인슐린 저항성 유발
비타민 D,골다공증,권장,장내 칼슘 흡수 촉진 및 뼈 형성 도움
비타민 K2,골다공증,권장,혈액 속 칼슘을 뼈 조직에 결합시키는 단백질 활성화
카페인,골다공증,주의,신장에서 칼슘 재흡수 방해 및 소변 배출 촉진
홍삼,고혈압,주의,혈압 상승 위험, 복용 전 의사 상담 필수
홍삼,당뇨병,주의,혈당 조절에 영향, 혈당 모니터링 필요
오메가-3,심장질환,권장,혈중 중성지방 개선 및 혈행 원활에 도움
칼륨,심장질환,권장,혈압 조절에 도움
마그네슘,심장질환,권장,혈압 조절에 도움
식이섬유,심장질환,권장,콜레스테롤 수치 개선에 도움
나트륨,심장질환,주의,혈압 상승 및 심장 부담 증가
포화지방,심장질환,주의,동맥경화 위험 증가
콜레스테롤,심장질환,주의,혈관 내벽에 축적되어 동맥경화 유발
카페인,심장질환,주의,심장박동 증가 및 부정맥 유발 가능
비타민 K,심장질환,주의,항응고제 복용 시 약물 작용에 영향
칼륨,신장질환,주의,고칼륨혈증으로 근육마비 및 부정맥 위험
인,신장질환,주의,뼈에서 칼슘 손실 및 혈관 석회화 유발
나트륨,신장질환,주의,부종 및 혈압 상승 유발
단백질,신장질환,주의,과다 섭취 시 요독증 악화
비타민 B군,간질환,권장,간 대사에 중요한 역할
단백질,간질환,주의,간성뇌증 위험 시 제한 필요
나트륨,간질환,주의,복수 및 부종 악화
단순당,간질환,주의,중성지방 생성 증가로 지방간 악화
